Proceso,Cod_SQ
PC01,IPC01.01
PC01,IPC01.02
PC01,IPC01.03
PC01,IPC01.04
PC02,IPC02.01
PC02,IPC02.02
PC02,IPC02.03
PC02,IPC02.05
PC02,IPC02.06
PC02,IPC02.07
PC02,IPC02.11
PC02,IPC02.08
PC02,IPC02.09
PC02,IPC02.10
PC03,IPC03.01
PC03,IPC03.02
PC03,IPC03.02
PC04,IPC04.01
PC04,IPC04.02
PC04,IPC04.03
PC04,IPC04.04
PC04,IPC.04.05
PC05,IPC05.01
PC05,IPC05.02
PC05,IPC05.03
PC05,IPC05.04
PC05,IPC.05.05
PC05,IPC.05.06
PS01,IPS01.01
PS01,IPS02.02
PS02,IPS02.03
PS02,IPS02.04
PS03,IPS03.01
PS03,IPS03.02
PS04,IPS04.01
PS04,IPS04.02
PS04,IPS04.03
PS04,IPS04.03
PS05,IPS05.01
PS05,IPS05.02
PS05,IPS05.03
PS05,IPS05.04
PS05,IPS05.05
PS05,IPS05.06
PE01,IPE01.03
PE02,IPE02.01
